set N0 := HKGA-sky BKKT-sky LOND-sky SINS-sky PARI-sky DXBA-sky NYCA-sky KULM-sky ISTA-sky ;
set N := HKGA-sky BKKT-sky LOND-sky SINS-sky PARI-sky DXBA-sky KULM-sky ISTA-sky ;
set T := 2021-01-01 2021-01-02 2021-01-03 2021-01-04 2021-01-05 2021-01-06 2021-01-07 2021-01-08 2021-01-09 2021-01-10 2021-01-11 2021-01-12 2021-01-13 2021-01-14 2021-01-15 2021-01-16 2021-01-17 2021-01-18 2021-01-19 2021-01-20 2021-01-21 2021-01-22 2021-01-23 2021-01-24 2021-01-25 2021-01-26 2021-01-27 2021-01-28 2021-01-29 2021-01-30 2021-01-31 ;
param c :=
HKGA-sky DXBA-sky 2021-01-20 361.0
HKGA-sky DXBA-sky 2021-01-28 351.0
HKGA-sky NYCA-sky 2021-01-01 759.0
HKGA-sky NYCA-sky 2021-01-02 930.0
HKGA-sky NYCA-sky 2021-01-03 575.0
HKGA-sky NYCA-sky 2021-01-04 827.0
HKGA-sky NYCA-sky 2021-01-05 588.0
HKGA-sky NYCA-sky 2021-01-06 804.0
HKGA-sky NYCA-sky 2021-01-08 424.0
HKGA-sky NYCA-sky 2021-01-09 419.0
HKGA-sky NYCA-sky 2021-01-10 411.0
HKGA-sky NYCA-sky 2021-01-11 774.0
HKGA-sky NYCA-sky 2021-01-12 456.0
HKGA-sky NYCA-sky 2021-01-15 471.0
HKGA-sky NYCA-sky 2021-01-16 529.0
HKGA-sky NYCA-sky 2021-01-18 773.0
HKGA-sky NYCA-sky 2021-01-19 537.0
HKGA-sky NYCA-sky 2021-01-20 700.0
HKGA-sky NYCA-sky 2021-01-23 444.0
HKGA-sky NYCA-sky 2021-01-24 570.0
HKGA-sky NYCA-sky 2021-01-25 585.0
HKGA-sky NYCA-sky 2021-01-27 449.0
HKGA-sky KULM-sky 2021-01-01 174.0
HKGA-sky KULM-sky 2021-01-02 174.0
HKGA-sky KULM-sky 2021-01-03 169.0
HKGA-sky KULM-sky 2021-01-06 171.0
HKGA-sky KULM-sky 2021-01-08 170.0
HKGA-sky KULM-sky 2021-01-09 171.0
HKGA-sky KULM-sky 2021-01-13 155.0
HKGA-sky KULM-sky 2021-01-15 177.0
HKGA-sky KULM-sky 2021-01-19 174.0
HKGA-sky KULM-sky 2021-01-20 170.0
HKGA-sky KULM-sky 2021-01-21 174.0
HKGA-sky KULM-sky 2021-01-22 178.0
HKGA-sky KULM-sky 2021-01-28 170.0
HKGA-sky ISTA-sky 2021-01-01 412.0
HKGA-sky ISTA-sky 2021-01-04 433.0
HKGA-sky ISTA-sky 2021-01-05 433.0
BKKT-sky HKGA-sky 2021-01-01 101.0
BKKT-sky HKGA-sky 2021-01-02 69.0
BKKT-sky HKGA-sky 2021-01-03 120.0
BKKT-sky HKGA-sky 2021-01-04 72.0
BKKT-sky HKGA-sky 2021-01-05 89.0
BKKT-sky HKGA-sky 2021-01-06 78.0
BKKT-sky HKGA-sky 2021-01-07 69.0
BKKT-sky HKGA-sky 2021-01-08 89.0
BKKT-sky HKGA-sky 2021-01-09 69.0
BKKT-sky HKGA-sky 2021-01-11 80.0
BKKT-sky HKGA-sky 2021-01-12 87.0
BKKT-sky HKGA-sky 2021-01-14 69.0
BKKT-sky HKGA-sky 2021-01-19 69.0
BKKT-sky HKGA-sky 2021-01-30 69.0
BKKT-sky HKGA-sky 2021-01-31 72.0
BKKT-sky LOND-sky 2021-01-01 462.0
BKKT-sky LOND-sky 2021-01-02 487.0
BKKT-sky LOND-sky 2021-01-03 487.0
BKKT-sky LOND-sky 2021-01-04 477.0
BKKT-sky LOND-sky 2021-01-05 420.0
BKKT-sky LOND-sky 2021-01-06 463.0
BKKT-sky LOND-sky 2021-01-07 452.0
BKKT-sky LOND-sky 2021-01-08 462.0
BKKT-sky LOND-sky 2021-01-09 467.0
BKKT-sky LOND-sky 2021-01-10 381.0
BKKT-sky LOND-sky 2021-01-11 355.0
BKKT-sky LOND-sky 2021-01-12 380.0
BKKT-sky LOND-sky 2021-01-13 377.0
BKKT-sky LOND-sky 2021-01-14 345.0
BKKT-sky LOND-sky 2021-01-15 423.0
BKKT-sky LOND-sky 2021-01-16 407.0
BKKT-sky LOND-sky 2021-01-17 338.0
BKKT-sky LOND-sky 2021-01-18 378.0
BKKT-sky LOND-sky 2021-01-19 446.0
BKKT-sky LOND-sky 2021-01-21 321.0
BKKT-sky LOND-sky 2021-01-22 455.0
BKKT-sky LOND-sky 2021-01-23 393.0
BKKT-sky LOND-sky 2021-01-24 457.0
BKKT-sky LOND-sky 2021-01-25 376.0
BKKT-sky LOND-sky 2021-01-26 456.0
BKKT-sky LOND-sky 2021-01-28 321.0
BKKT-sky LOND-sky 2021-01-30 393.0
BKKT-sky LOND-sky 2021-01-31 339.0
BKKT-sky SINS-sky 2021-01-01 135.0
BKKT-sky SINS-sky 2021-01-02 136.0
BKKT-sky SINS-sky 2021-01-03 136.0
BKKT-sky SINS-sky 2021-01-04 136.0
BKKT-sky SINS-sky 2021-01-05 49.0
BKKT-sky SINS-sky 2021-01-07 49.0
BKKT-sky SINS-sky 2021-01-08 136.0
BKKT-sky SINS-sky 2021-01-09 135.0
BKKT-sky SINS-sky 2021-01-10 41.0
BKKT-sky SINS-sky 2021-01-17 136.0
BKKT-sky SINS-sky 2021-01-18 48.0
BKKT-sky SINS-sky 2021-01-19 136.0
BKKT-sky SINS-sky 2021-01-28 136.0
BKKT-sky PARI-sky 2021-01-01 448.0
BKKT-sky PARI-sky 2021-01-02 450.0
BKKT-sky PARI-sky 2021-01-04 476.0
BKKT-sky PARI-sky 2021-01-05 465.0
BKKT-sky PARI-sky 2021-01-11 404.0
BKKT-sky PARI-sky 2021-01-19 454.0
BKKT-sky PARI-sky 2021-01-24 435.0
BKKT-sky PARI-sky 2021-01-28 407.0
BKKT-sky PARI-sky 2021-01-29 448.0
BKKT-sky DXBA-sky 2021-01-01 1036.0
BKKT-sky DXBA-sky 2021-01-02 278.0
BKKT-sky DXBA-sky 2021-01-05 286.0
BKKT-sky DXBA-sky 2021-01-07 382.0
BKKT-sky DXBA-sky 2021-01-09 354.0
BKKT-sky DXBA-sky 2021-01-10 251.0
BKKT-sky DXBA-sky 2021-01-11 383.0
BKKT-sky DXBA-sky 2021-01-14 287.0
BKKT-sky DXBA-sky 2021-01-20 382.0
BKKT-sky DXBA-sky 2021-01-21 286.0
BKKT-sky DXBA-sky 2021-01-29 260.0
BKKT-sky NYCA-sky 2021-01-01 635.0
BKKT-sky NYCA-sky 2021-01-02 731.0
BKKT-sky NYCA-sky 2021-01-03 786.0
BKKT-sky NYCA-sky 2021-01-04 737.0
BKKT-sky NYCA-sky 2021-01-05 709.0
BKKT-sky NYCA-sky 2021-01-06 699.0
BKKT-sky NYCA-sky 2021-01-07 812.0
BKKT-sky NYCA-sky 2021-01-08 699.0
BKKT-sky NYCA-sky 2021-01-09 518.0
BKKT-sky NYCA-sky 2021-01-10 698.0
BKKT-sky NYCA-sky 2021-01-11 531.0
BKKT-sky NYCA-sky 2021-01-12 409.0
BKKT-sky NYCA-sky 2021-01-13 532.0
BKKT-sky NYCA-sky 2021-01-14 643.0
BKKT-sky NYCA-sky 2021-01-15 672.0
BKKT-sky NYCA-sky 2021-01-16 420.0
BKKT-sky NYCA-sky 2021-01-17 666.0
BKKT-sky NYCA-sky 2021-01-18 643.0
BKKT-sky NYCA-sky 2021-01-19 370.0
BKKT-sky NYCA-sky 2021-01-20 538.0
BKKT-sky NYCA-sky 2021-01-21 636.0
BKKT-sky NYCA-sky 2021-01-24 636.0
BKKT-sky NYCA-sky 2021-01-25 538.0
BKKT-sky NYCA-sky 2021-01-26 630.0
BKKT-sky NYCA-sky 2021-01-27 538.0
BKKT-sky NYCA-sky 2021-01-28 372.0
BKKT-sky NYCA-sky 2021-01-29 636.0
BKKT-sky KULM-sky 2021-01-01 165.0
BKKT-sky KULM-sky 2021-01-06 141.0
BKKT-sky KULM-sky 2021-01-13 68.0
BKKT-sky KULM-sky 2021-01-15 165.0
BKKT-sky KULM-sky 2021-01-18 164.0
BKKT-sky KULM-sky 2021-01-22 165.0
BKKT-sky KULM-sky 2021-01-29 164.0
BKKT-sky ISTA-sky 2021-01-01 419.0
BKKT-sky ISTA-sky 2021-01-02 440.0
BKKT-sky ISTA-sky 2021-01-03 427.0
BKKT-sky ISTA-sky 2021-01-04 386.0
BKKT-sky ISTA-sky 2021-01-05 371.0
BKKT-sky ISTA-sky 2021-01-06 411.0
BKKT-sky ISTA-sky 2021-01-07 388.0
BKKT-sky ISTA-sky 2021-01-08 355.0
BKKT-sky ISTA-sky 2021-01-09 358.0
BKKT-sky ISTA-sky 2021-01-10 370.0
BKKT-sky ISTA-sky 2021-01-11 370.0
BKKT-sky ISTA-sky 2021-01-14 370.0
BKKT-sky ISTA-sky 2021-01-15 383.0
BKKT-sky ISTA-sky 2021-01-16 386.0
BKKT-sky ISTA-sky 2021-01-17 386.0
BKKT-sky ISTA-sky 2021-01-18 385.0
BKKT-sky ISTA-sky 2021-01-19 379.0
BKKT-sky ISTA-sky 2021-01-20 378.0
BKKT-sky ISTA-sky 2021-01-24 383.0
BKKT-sky ISTA-sky 2021-01-26 393.0
BKKT-sky ISTA-sky 2021-01-27 429.0
BKKT-sky ISTA-sky 2021-01-31 395.0
LOND-sky HKGA-sky 2021-01-01 442.0
LOND-sky HKGA-sky 2021-01-02 451.0
LOND-sky HKGA-sky 2021-01-03 434.0
LOND-sky HKGA-sky 2021-01-04 451.0
LOND-sky HKGA-sky 2021-01-05 387.0
LOND-sky HKGA-sky 2021-01-06 380.0
LOND-sky HKGA-sky 2021-01-07 401.0
LOND-sky HKGA-sky 2021-01-08 442.0
LOND-sky HKGA-sky 2021-01-09 451.0
LOND-sky HKGA-sky 2021-01-10 352.0
LOND-sky HKGA-sky 2021-01-11 324.0
LOND-sky HKGA-sky 2021-01-12 346.0
LOND-sky HKGA-sky 2021-01-13 424.0
LOND-sky HKGA-sky 2021-01-14 423.0
LOND-sky HKGA-sky 2021-01-15 328.0
LOND-sky HKGA-sky 2021-01-17 443.0
LOND-sky HKGA-sky 2021-01-18 312.0
LOND-sky HKGA-sky 2021-01-20 310.0
LOND-sky HKGA-sky 2021-01-21 359.0
LOND-sky HKGA-sky 2021-01-22 322.0
LOND-sky HKGA-sky 2021-01-23 451.0
LOND-sky HKGA-sky 2021-01-24 312.0
LOND-sky HKGA-sky 2021-01-25 312.0
LOND-sky HKGA-sky 2021-01-26 423.0
LOND-sky HKGA-sky 2021-01-27 451.0
LOND-sky HKGA-sky 2021-01-28 424.0
LOND-sky HKGA-sky 2021-01-29 317.0
LOND-sky HKGA-sky 2021-01-30 501.0
LOND-sky HKGA-sky 2021-01-31 459.0
LOND-sky BKKT-sky 2021-01-01 368.0
LOND-sky BKKT-sky 2021-01-02 438.0
LOND-sky BKKT-sky 2021-01-03 371.0
LOND-sky BKKT-sky 2021-01-04 438.0
LOND-sky BKKT-sky 2021-01-05 457.0
LOND-sky BKKT-sky 2021-01-06 438.0
LOND-sky BKKT-sky 2021-01-07 342.0
LOND-sky BKKT-sky 2021-01-08 415.0
LOND-sky BKKT-sky 2021-01-09 438.0
LOND-sky BKKT-sky 2021-01-10 332.0
LOND-sky BKKT-sky 2021-01-11 358.0
LOND-sky BKKT-sky 2021-01-12 416.0
LOND-sky BKKT-sky 2021-01-13 396.0
LOND-sky BKKT-sky 2021-01-14 332.0
LOND-sky BKKT-sky 2021-01-15 354.0
LOND-sky BKKT-sky 2021-01-16 414.0
LOND-sky BKKT-sky 2021-01-17 338.0
LOND-sky BKKT-sky 2021-01-18 379.0
LOND-sky BKKT-sky 2021-01-19 382.0
LOND-sky BKKT-sky 2021-01-20 404.0
LOND-sky BKKT-sky 2021-01-21 338.0
LOND-sky BKKT-sky 2021-01-22 358.0
LOND-sky BKKT-sky 2021-01-23 428.0
LOND-sky BKKT-sky 2021-01-24 345.0
LOND-sky BKKT-sky 2021-01-25 349.0
LOND-sky BKKT-sky 2021-01-26 345.0
LOND-sky BKKT-sky 2021-01-27 404.0
LOND-sky BKKT-sky 2021-01-28 332.0
LOND-sky BKKT-sky 2021-01-29 370.0
LOND-sky BKKT-sky 2021-01-30 338.0
LOND-sky BKKT-sky 2021-01-31 416.0
LOND-sky SINS-sky 2021-01-01 387.0
LOND-sky SINS-sky 2021-01-02 421.0
LOND-sky SINS-sky 2021-01-03 414.0
LOND-sky SINS-sky 2021-01-04 437.0
LOND-sky SINS-sky 2021-01-05 406.0
LOND-sky SINS-sky 2021-01-06 403.0
LOND-sky SINS-sky 2021-01-07 399.0
LOND-sky SINS-sky 2021-01-08 430.0
LOND-sky SINS-sky 2021-01-09 378.0
LOND-sky SINS-sky 2021-01-10 373.0
LOND-sky SINS-sky 2021-01-13 412.0
LOND-sky SINS-sky 2021-01-14 392.0
LOND-sky SINS-sky 2021-01-15 402.0
LOND-sky SINS-sky 2021-01-16 402.0
LOND-sky SINS-sky 2021-01-17 402.0
LOND-sky SINS-sky 2021-01-18 405.0
LOND-sky SINS-sky 2021-01-19 432.0
LOND-sky SINS-sky 2021-01-22 394.0
LOND-sky SINS-sky 2021-01-23 466.0
LOND-sky SINS-sky 2021-01-25 405.0
LOND-sky SINS-sky 2021-01-26 380.0
LOND-sky SINS-sky 2021-01-28 459.0
LOND-sky SINS-sky 2021-01-29 475.0
LOND-sky SINS-sky 2021-01-30 467.0
LOND-sky SINS-sky 2021-01-31 459.0
LOND-sky PARI-sky 2021-01-01 42.0
LOND-sky PARI-sky 2021-01-02 40.0
LOND-sky PARI-sky 2021-01-03 41.0
LOND-sky PARI-sky 2021-01-04 40.0
LOND-sky PARI-sky 2021-01-05 42.0
LOND-sky PARI-sky 2021-01-06 42.0
LOND-sky PARI-sky 2021-01-07 70.0
LOND-sky PARI-sky 2021-01-08 39.0
LOND-sky PARI-sky 2021-01-09 42.0
LOND-sky PARI-sky 2021-01-10 35.0
LOND-sky PARI-sky 2021-01-11 36.0
LOND-sky PARI-sky 2021-01-12 36.0
LOND-sky PARI-sky 2021-01-13 28.0
LOND-sky PARI-sky 2021-01-14 42.0
LOND-sky PARI-sky 2021-01-15 35.0
LOND-sky PARI-sky 2021-01-16 36.0
LOND-sky PARI-sky 2021-01-17 34.0
LOND-sky PARI-sky 2021-01-20 27.0
LOND-sky PARI-sky 2021-01-21 38.0
LOND-sky PARI-sky 2021-01-22 25.0
LOND-sky PARI-sky 2021-01-23 37.0
LOND-sky PARI-sky 2021-01-24 28.0
LOND-sky PARI-sky 2021-01-25 53.0
LOND-sky PARI-sky 2021-01-27 40.0
LOND-sky PARI-sky 2021-01-28 40.0
LOND-sky PARI-sky 2021-01-29 25.0
LOND-sky PARI-sky 2021-01-31 33.0
LOND-sky DXBA-sky 2021-01-01 283.0
LOND-sky DXBA-sky 2021-01-02 223.0
LOND-sky DXBA-sky 2021-01-03 213.0
LOND-sky DXBA-sky 2021-01-04 218.0
LOND-sky DXBA-sky 2021-01-05 206.0
LOND-sky DXBA-sky 2021-01-06 185.0
LOND-sky DXBA-sky 2021-01-07 185.0
LOND-sky DXBA-sky 2021-01-08 206.0
LOND-sky DXBA-sky 2021-01-09 215.0
LOND-sky DXBA-sky 2021-01-10 196.0
LOND-sky DXBA-sky 2021-01-11 200.0
LOND-sky DXBA-sky 2021-01-12 217.0
LOND-sky DXBA-sky 2021-01-13 207.0
LOND-sky DXBA-sky 2021-01-14 208.0
LOND-sky DXBA-sky 2021-01-15 179.0
LOND-sky DXBA-sky 2021-01-16 176.0
LOND-sky DXBA-sky 2021-01-17 173.0
LOND-sky DXBA-sky 2021-01-18 182.0
LOND-sky DXBA-sky 2021-01-19 200.0
LOND-sky DXBA-sky 2021-01-20 200.0
LOND-sky DXBA-sky 2021-01-21 198.0
LOND-sky DXBA-sky 2021-01-22 180.0
LOND-sky DXBA-sky 2021-01-23 182.0
LOND-sky DXBA-sky 2021-01-24 209.0
LOND-sky DXBA-sky 2021-01-25 182.0
LOND-sky DXBA-sky 2021-01-26 182.0
LOND-sky DXBA-sky 2021-01-27 200.0
LOND-sky DXBA-sky 2021-01-28 197.0
LOND-sky DXBA-sky 2021-01-29 182.0
LOND-sky DXBA-sky 2021-01-30 171.0
LOND-sky DXBA-sky 2021-01-31 187.0
LOND-sky NYCA-sky 2021-01-01 235.0
LOND-sky NYCA-sky 2021-01-02 281.0
LOND-sky NYCA-sky 2021-01-03 258.0
LOND-sky NYCA-sky 2021-01-04 231.0
LOND-sky NYCA-sky 2021-01-05 230.0
LOND-sky NYCA-sky 2021-01-06 234.0
LOND-sky NYCA-sky 2021-01-07 231.0
LOND-sky NYCA-sky 2021-01-08 230.0
LOND-sky NYCA-sky 2021-01-09 230.0
LOND-sky NYCA-sky 2021-01-10 222.0
LOND-sky NYCA-sky 2021-01-11 226.0
LOND-sky NYCA-sky 2021-01-12 188.0
LOND-sky NYCA-sky 2021-01-13 191.0
LOND-sky NYCA-sky 2021-01-14 222.0
LOND-sky NYCA-sky 2021-01-15 218.0
LOND-sky NYCA-sky 2021-01-16 259.0
LOND-sky NYCA-sky 2021-01-17 216.0
LOND-sky NYCA-sky 2021-01-18 202.0
LOND-sky NYCA-sky 2021-01-19 187.0
LOND-sky NYCA-sky 2021-01-20 190.0
LOND-sky NYCA-sky 2021-01-21 206.0
LOND-sky NYCA-sky 2021-01-22 220.0
LOND-sky NYCA-sky 2021-01-23 219.0
LOND-sky NYCA-sky 2021-01-24 193.0
LOND-sky NYCA-sky 2021-01-25 198.0
LOND-sky NYCA-sky 2021-01-26 274.0
LOND-sky NYCA-sky 2021-01-27 187.0
LOND-sky NYCA-sky 2021-01-28 198.0
LOND-sky NYCA-sky 2021-01-29 213.0
LOND-sky NYCA-sky 2021-01-30 201.0
LOND-sky NYCA-sky 2021-01-31 188.0
LOND-sky KULM-sky 2021-01-01 502.0
LOND-sky KULM-sky 2021-01-02 526.0
LOND-sky KULM-sky 2021-01-03 539.0
LOND-sky KULM-sky 2021-01-04 522.0
LOND-sky KULM-sky 2021-01-05 476.0
LOND-sky KULM-sky 2021-01-06 476.0
LOND-sky KULM-sky 2021-01-07 476.0
LOND-sky KULM-sky 2021-01-08 461.0
LOND-sky KULM-sky 2021-01-09 502.0
LOND-sky KULM-sky 2021-01-11 422.0
LOND-sky KULM-sky 2021-01-13 392.0
LOND-sky KULM-sky 2021-01-14 427.0
LOND-sky KULM-sky 2021-01-15 447.0
LOND-sky KULM-sky 2021-01-16 449.0
LOND-sky KULM-sky 2021-01-18 423.0
LOND-sky KULM-sky 2021-01-20 423.0
LOND-sky KULM-sky 2021-01-24 384.0
LOND-sky KULM-sky 2021-01-26 2190.0
LOND-sky KULM-sky 2021-01-28 407.0
LOND-sky ISTA-sky 2021-01-01 71.0
LOND-sky ISTA-sky 2021-01-02 76.0
LOND-sky ISTA-sky 2021-01-03 65.0
LOND-sky ISTA-sky 2021-01-04 66.0
LOND-sky ISTA-sky 2021-01-05 74.0
LOND-sky ISTA-sky 2021-01-06 62.0
LOND-sky ISTA-sky 2021-01-07 64.0
LOND-sky ISTA-sky 2021-01-08 71.0
LOND-sky ISTA-sky 2021-01-09 66.0
LOND-sky ISTA-sky 2021-01-10 64.0
LOND-sky ISTA-sky 2021-01-11 65.0
LOND-sky ISTA-sky 2021-01-12 66.0
LOND-sky ISTA-sky 2021-01-13 65.0
LOND-sky ISTA-sky 2021-01-14 64.0
LOND-sky ISTA-sky 2021-01-15 64.0
LOND-sky ISTA-sky 2021-01-16 65.0
LOND-sky ISTA-sky 2021-01-17 64.0
LOND-sky ISTA-sky 2021-01-18 64.0
LOND-sky ISTA-sky 2021-01-19 66.0
LOND-sky ISTA-sky 2021-01-20 64.0
LOND-sky ISTA-sky 2021-01-21 64.0
LOND-sky ISTA-sky 2021-01-22 64.0
LOND-sky ISTA-sky 2021-01-24 57.0
LOND-sky ISTA-sky 2021-01-25 65.0
LOND-sky ISTA-sky 2021-01-26 68.0
LOND-sky ISTA-sky 2021-01-27 66.0
LOND-sky ISTA-sky 2021-01-28 57.0
LOND-sky ISTA-sky 2021-01-29 66.0
LOND-sky ISTA-sky 2021-01-30 64.0
LOND-sky ISTA-sky 2021-01-31 63.0
SINS-sky HKGA-sky 2021-01-01 150.0
SINS-sky HKGA-sky 2021-01-02 182.0
SINS-sky HKGA-sky 2021-01-03 177.0
SINS-sky HKGA-sky 2021-01-04 163.0
SINS-sky HKGA-sky 2021-01-05 153.0
SINS-sky HKGA-sky 2021-01-06 143.0
SINS-sky HKGA-sky 2021-01-07 160.0
SINS-sky HKGA-sky 2021-01-08 153.0
SINS-sky HKGA-sky 2021-01-09 190.0
SINS-sky HKGA-sky 2021-01-10 153.0
SINS-sky HKGA-sky 2021-01-11 153.0
SINS-sky HKGA-sky 2021-01-12 160.0
SINS-sky HKGA-sky 2021-01-13 153.0
SINS-sky HKGA-sky 2021-01-14 183.0
SINS-sky HKGA-sky 2021-01-15 145.0
SINS-sky HKGA-sky 2021-01-16 160.0
SINS-sky HKGA-sky 2021-01-17 137.0
SINS-sky HKGA-sky 2021-01-21 188.0
SINS-sky HKGA-sky 2021-01-22 160.0
SINS-sky HKGA-sky 2021-01-24 153.0
SINS-sky HKGA-sky 2021-01-25 141.0
SINS-sky HKGA-sky 2021-01-26 153.0
SINS-sky HKGA-sky 2021-01-29 154.0
SINS-sky HKGA-sky 2021-01-30 160.0
SINS-sky HKGA-sky 2021-01-31 141.0
SINS-sky BKKT-sky 2021-01-02 163.0
SINS-sky BKKT-sky 2021-01-04 153.0
SINS-sky BKKT-sky 2021-01-05 69.0
SINS-sky BKKT-sky 2021-01-06 53.0
SINS-sky BKKT-sky 2021-01-07 70.0
SINS-sky BKKT-sky 2021-01-08 159.0
SINS-sky BKKT-sky 2021-01-10 48.0
SINS-sky BKKT-sky 2021-01-12 55.0
SINS-sky BKKT-sky 2021-01-13 54.0
SINS-sky BKKT-sky 2021-01-14 53.0
SINS-sky BKKT-sky 2021-01-20 152.0
SINS-sky BKKT-sky 2021-01-22 159.0
SINS-sky LOND-sky 2021-01-01 431.0
SINS-sky LOND-sky 2021-01-02 428.0
SINS-sky LOND-sky 2021-01-03 413.0
SINS-sky LOND-sky 2021-01-04 428.0
SINS-sky LOND-sky 2021-01-05 428.0
SINS-sky LOND-sky 2021-01-06 412.0
SINS-sky LOND-sky 2021-01-07 429.0
SINS-sky LOND-sky 2021-01-08 429.0
SINS-sky LOND-sky 2021-01-09 429.0
SINS-sky LOND-sky 2021-01-10 412.0
