set N0 := HKGA-sky BKKT-sky LOND-sky SINS-sky PARI-sky DXBA-sky NYCA-sky KULM-sky ISTA-sky ;
set N := HKGA-sky BKKT-sky LOND-sky SINS-sky PARI-sky DXBA-sky KULM-sky ISTA-sky ;
set T := 2021-01-01 2021-01-02 2021-01-03 2021-01-04 2021-01-05 2021-01-06 2021-01-07 2021-01-08 2021-01-09 2021-01-10 2021-01-11 2021-01-12 2021-01-13 2021-01-14 2021-01-15 2021-01-16 2021-01-17 2021-01-18 2021-01-19 2021-01-20 2021-01-21 2021-01-22 2021-01-23 2021-01-24 2021-01-25 ;
param c :=
HKGA-sky LOND-sky 2021-01-18 310
HKGA-sky LOND-sky 2021-01-19 310
HKGA-sky LOND-sky 2021-01-20 301
HKGA-sky LOND-sky 2021-01-21 300
HKGA-sky LOND-sky 2021-01-22 299
HKGA-sky LOND-sky 2021-01-23 323
HKGA-sky LOND-sky 2021-01-24 299
HKGA-sky LOND-sky 2021-01-25 310
HKGA-sky SINS-sky 2021-01-01 191
HKGA-sky SINS-sky 2021-01-02 174
HKGA-sky SINS-sky 2021-01-03 164
HKGA-sky SINS-sky 2021-01-04 159
HKGA-sky SINS-sky 2021-01-05 149
HKGA-sky SINS-sky 2021-01-06 162
HKGA-sky SINS-sky 2021-01-07 149
HKGA-sky SINS-sky 2021-01-08 159
HKGA-sky SINS-sky 2021-01-09 159
HKGA-sky SINS-sky 2021-01-10 149
HKGA-sky SINS-sky 2021-01-11 149
HKGA-sky SINS-sky 2021-01-12 162
HKGA-sky SINS-sky 2021-01-13 148
HKGA-sky SINS-sky 2021-01-14 149
HKGA-sky SINS-sky 2021-01-15 162
HKGA-sky SINS-sky 2021-01-16 2147483647
HKGA-sky SINS-sky 2021-01-17 162
HKGA-sky SINS-sky 2021-01-18 162
HKGA-sky SINS-sky 2021-01-19 159
HKGA-sky SINS-sky 2021-01-20 162
HKGA-sky SINS-sky 2021-01-21 159
HKGA-sky SINS-sky 2021-01-22 159
HKGA-sky SINS-sky 2021-01-23 2147483647
HKGA-sky SINS-sky 2021-01-24 149
HKGA-sky SINS-sky 2021-01-25 162
HKGA-sky PARI-sky 2021-01-01 528
HKGA-sky PARI-sky 2021-01-02 415
HKGA-sky PARI-sky 2021-01-03 2147483647
HKGA-sky PARI-sky 2021-01-04 2147483647
HKGA-sky PARI-sky 2021-01-05 2147483647
HKGA-sky PARI-sky 2021-01-06 2147483647
HKGA-sky PARI-sky 2021-01-07 2147483647
HKGA-sky PARI-sky 2021-01-08 2147483647
HKGA-sky PARI-sky 2021-01-09 402
HKGA-sky PARI-sky 2021-01-10 2147483647
HKGA-sky PARI-sky 2021-01-11 2147483647
HKGA-sky PARI-sky 2021-01-12 402
HKGA-sky PARI-sky 2021-01-13 2147483647
HKGA-sky PARI-sky 2021-01-14 2147483647
HKGA-sky PARI-sky 2021-01-15 370
HKGA-sky PARI-sky 2021-01-16 2147483647
HKGA-sky PARI-sky 2021-01-17 2147483647
HKGA-sky PARI-sky 2021-01-18 2147483647
HKGA-sky PARI-sky 2021-01-19 2147483647
HKGA-sky PARI-sky 2021-01-20 370
HKGA-sky PARI-sky 2021-01-21 2147483647
HKGA-sky PARI-sky 2021-01-22 2147483647
HKGA-sky PARI-sky 2021-01-23 2147483647
HKGA-sky PARI-sky 2021-01-24 2147483647
HKGA-sky PARI-sky 2021-01-25 2147483647
HKGA-sky DXBA-sky 2021-01-01 409
HKGA-sky DXBA-sky 2021-01-02 2147483647
HKGA-sky DXBA-sky 2021-01-03 2147483647
HKGA-sky DXBA-sky 2021-01-04 2147483647
HKGA-sky DXBA-sky 2021-01-05 399
HKGA-sky DXBA-sky 2021-01-06 484
HKGA-sky DXBA-sky 2021-01-07 2147483647
HKGA-sky DXBA-sky 2021-01-08 2147483647
HKGA-sky DXBA-sky 2021-01-09 485
HKGA-sky DXBA-sky 2021-01-10 485
HKGA-sky DXBA-sky 2021-01-11 361
HKGA-sky DXBA-sky 2021-01-12 2147483647
HKGA-sky DXBA-sky 2021-01-13 2147483647
HKGA-sky DXBA-sky 2021-01-14 2147483647
HKGA-sky DXBA-sky 2021-01-15 349
HKGA-sky DXBA-sky 2021-01-16 2147483647
HKGA-sky DXBA-sky 2021-01-17 362
HKGA-sky DXBA-sky 2021-01-18 1687
HKGA-sky DXBA-sky 2021-01-19 2147483647
HKGA-sky DXBA-sky 2021-01-20 2147483647
HKGA-sky DXBA-sky 2021-01-21 1680
HKGA-sky DXBA-sky 2021-01-22 2147483647
HKGA-sky DXBA-sky 2021-01-23 2147483647
HKGA-sky DXBA-sky 2021-01-24 2147483647
HKGA-sky DXBA-sky 2021-01-25 2147483647
HKGA-sky NYCA-sky 2021-01-01 761
HKGA-sky NYCA-sky 2021-01-02 933
HKGA-sky NYCA-sky 2021-01-03 577
HKGA-sky NYCA-sky 2021-01-04 830
HKGA-sky NYCA-sky 2021-01-05 774
HKGA-sky NYCA-sky 2021-01-06 509
HKGA-sky NYCA-sky 2021-01-07 408
HKGA-sky NYCA-sky 2021-01-08 415
HKGA-sky NYCA-sky 2021-01-09 776
HKGA-sky NYCA-sky 2021-01-10 415
HKGA-sky NYCA-sky 2021-01-11 776
HKGA-sky NYCA-sky 2021-01-12 458
HKGA-sky NYCA-sky 2021-01-13 460
HKGA-sky NYCA-sky 2021-01-14 469
HKGA-sky NYCA-sky 2021-01-15 470
HKGA-sky NYCA-sky 2021-01-16 531
HKGA-sky NYCA-sky 2021-01-17 474
HKGA-sky NYCA-sky 2021-01-18 776
HKGA-sky NYCA-sky 2021-01-19 538
HKGA-sky NYCA-sky 2021-01-20 702
HKGA-sky NYCA-sky 2021-01-21 663
HKGA-sky NYCA-sky 2021-01-22 2147483647
HKGA-sky NYCA-sky 2021-01-23 446
HKGA-sky NYCA-sky 2021-01-24 571
HKGA-sky NYCA-sky 2021-01-25 451
HKGA-sky KULM-sky 2021-01-01 174
HKGA-sky KULM-sky 2021-01-02 170
HKGA-sky KULM-sky 2021-01-03 2147483647
HKGA-sky KULM-sky 2021-01-04 177
HKGA-sky KULM-sky 2021-01-05 148
HKGA-sky KULM-sky 2021-01-06 179
HKGA-sky KULM-sky 2021-01-07 2147483647
HKGA-sky KULM-sky 2021-01-08 170
HKGA-sky KULM-sky 2021-01-09 2147483647
HKGA-sky KULM-sky 2021-01-10 2147483647
HKGA-sky KULM-sky 2021-01-11 2147483647
HKGA-sky KULM-sky 2021-01-12 177
HKGA-sky KULM-sky 2021-01-13 2147483647
HKGA-sky KULM-sky 2021-01-14 2147483647
HKGA-sky KULM-sky 2021-01-15 177
HKGA-sky KULM-sky 2021-01-16 177
HKGA-sky KULM-sky 2021-01-17 2147483647
HKGA-sky KULM-sky 2021-01-18 2147483647
HKGA-sky KULM-sky 2021-01-19 175
HKGA-sky KULM-sky 2021-01-20 170
HKGA-sky KULM-sky 2021-01-21 2147483647
HKGA-sky KULM-sky 2021-01-22 2147483647
HKGA-sky KULM-sky 2021-01-23 2147483647
HKGA-sky KULM-sky 2021-01-24 2147483647
HKGA-sky KULM-sky 2021-01-25 2147483647
HKGA-sky ISTA-sky 2021-01-01 414
HKGA-sky ISTA-sky 2021-01-02 2147483647
HKGA-sky ISTA-sky 2021-01-03 2147483647
HKGA-sky ISTA-sky 2021-01-04 435
HKGA-sky ISTA-sky 2021-01-05 434
HKGA-sky ISTA-sky 2021-01-06 2147483647
HKGA-sky ISTA-sky 2021-01-07 2147483647
HKGA-sky ISTA-sky 2021-01-08 2147483647
HKGA-sky ISTA-sky 2021-01-09 2147483647
HKGA-sky ISTA-sky 2021-01-10 2147483647
HKGA-sky ISTA-sky 2021-01-11 2147483647
HKGA-sky ISTA-sky 2021-01-12 2147483647
HKGA-sky ISTA-sky 2021-01-13 2147483647
HKGA-sky ISTA-sky 2021-01-14 2147483647
HKGA-sky ISTA-sky 2021-01-15 4778
HKGA-sky ISTA-sky 2021-01-16 414
HKGA-sky ISTA-sky 2021-01-17 2147483647
HKGA-sky ISTA-sky 2021-01-18 2147483647
HKGA-sky ISTA-sky 2021-01-19 2147483647
HKGA-sky ISTA-sky 2021-01-20 2147483647
HKGA-sky ISTA-sky 2021-01-21 2147483647
HKGA-sky ISTA-sky 2021-01-22 2147483647
HKGA-sky ISTA-sky 2021-01-23 2147483647
HKGA-sky ISTA-sky 2021-01-24 2147483647
HKGA-sky ISTA-sky 2021-01-25 2147483647
BKKT-sky HKGA-sky 2021-01-01 2147483647
BKKT-sky HKGA-sky 2021-01-02 70
BKKT-sky HKGA-sky 2021-01-03 120
BKKT-sky HKGA-sky 2021-01-04 72
BKKT-sky HKGA-sky 2021-01-05 2147483647
BKKT-sky HKGA-sky 2021-01-06 2147483647
BKKT-sky HKGA-sky 2021-01-07 2147483647
BKKT-sky HKGA-sky 2021-01-08 2147483647
BKKT-sky HKGA-sky 2021-01-09 2147483647
BKKT-sky HKGA-sky 2021-01-10 2147483647
BKKT-sky HKGA-sky 2021-01-11 81
BKKT-sky HKGA-sky 2021-01-12 2147483647
BKKT-sky HKGA-sky 2021-01-13 2147483647
BKKT-sky HKGA-sky 2021-01-14 73
BKKT-sky HKGA-sky 2021-01-15 2147483647
BKKT-sky HKGA-sky 2021-01-16 2147483647
BKKT-sky HKGA-sky 2021-01-17 2147483647
BKKT-sky HKGA-sky 2021-01-18 2147483647
BKKT-sky HKGA-sky 2021-01-19 69
BKKT-sky HKGA-sky 2021-01-20 69
BKKT-sky HKGA-sky 2021-01-21 2147483647
BKKT-sky HKGA-sky 2021-01-22 2147483647
BKKT-sky HKGA-sky 2021-01-23 2147483647
BKKT-sky HKGA-sky 2021-01-24 2147483647
BKKT-sky HKGA-sky 2021-01-25 2147483647
BKKT-sky LOND-sky 2021-01-01 476
BKKT-sky LOND-sky 2021-01-02 488
BKKT-sky LOND-sky 2021-01-03 489
BKKT-sky LOND-sky 2021-01-04 464
BKKT-sky LOND-sky 2021-01-05 472
BKKT-sky LOND-sky 2021-01-06 442
BKKT-sky LOND-sky 2021-01-07 438
BKKT-sky LOND-sky 2021-01-08 474
BKKT-sky LOND-sky 2021-01-09 374
BKKT-sky LOND-sky 2021-01-10 382
BKKT-sky LOND-sky 2021-01-11 356
BKKT-sky LOND-sky 2021-01-12 413
BKKT-sky LOND-sky 2021-01-13 379
BKKT-sky LOND-sky 2021-01-14 346
BKKT-sky LOND-sky 2021-01-15 404
BKKT-sky LOND-sky 2021-01-16 395
BKKT-sky LOND-sky 2021-01-17 339
BKKT-sky LOND-sky 2021-01-18 378
BKKT-sky LOND-sky 2021-01-19 374
BKKT-sky LOND-sky 2021-01-20 2147483647
BKKT-sky LOND-sky 2021-01-21 339
BKKT-sky LOND-sky 2021-01-22 403
BKKT-sky LOND-sky 2021-01-23 394
BKKT-sky LOND-sky 2021-01-24 462
BKKT-sky LOND-sky 2021-01-25 514
BKKT-sky SINS-sky 2021-01-01 77
BKKT-sky SINS-sky 2021-01-02 136
BKKT-sky SINS-sky 2021-01-03 136
BKKT-sky SINS-sky 2021-01-04 136
BKKT-sky SINS-sky 2021-01-05 49
BKKT-sky SINS-sky 2021-01-06 2147483647
BKKT-sky SINS-sky 2021-01-07 49
BKKT-sky SINS-sky 2021-01-08 136
BKKT-sky SINS-sky 2021-01-09 135
BKKT-sky SINS-sky 2021-01-10 41
BKKT-sky SINS-sky 2021-01-11 2147483647
BKKT-sky SINS-sky 2021-01-12 2147483647
BKKT-sky SINS-sky 2021-01-13 47
BKKT-sky SINS-sky 2021-01-14 2147483647
BKKT-sky SINS-sky 2021-01-15 48
BKKT-sky SINS-sky 2021-01-16 2147483647
BKKT-sky SINS-sky 2021-01-17 136
BKKT-sky SINS-sky 2021-01-18 55
BKKT-sky SINS-sky 2021-01-19 136
BKKT-sky SINS-sky 2021-01-20 2147483647
BKKT-sky SINS-sky 2021-01-21 136
BKKT-sky SINS-sky 2021-01-22 2147483647
BKKT-sky SINS-sky 2021-01-23 2147483647
BKKT-sky SINS-sky 2021-01-24 2147483647
BKKT-sky SINS-sky 2021-01-25 2147483647
BKKT-sky PARI-sky 2021-01-01 2147483647
BKKT-sky PARI-sky 2021-01-02 2147483647
BKKT-sky PARI-sky 2021-01-03 552
BKKT-sky PARI-sky 2021-01-04 477
BKKT-sky PARI-sky 2021-01-05 467
BKKT-sky PARI-sky 2021-01-06 2147483647
BKKT-sky PARI-sky 2021-01-07 454
BKKT-sky PARI-sky 2021-01-08 458
BKKT-sky PARI-sky 2021-01-09 2147483647
BKKT-sky PARI-sky 2021-01-10 455
BKKT-sky PARI-sky 2021-01-11 2147483647
BKKT-sky PARI-sky 2021-01-12 2147483647
BKKT-sky PARI-sky 2021-01-13 2147483647
BKKT-sky PARI-sky 2021-01-14 2147483647
BKKT-sky PARI-sky 2021-01-15 458
BKKT-sky PARI-sky 2021-01-16 2147483647
BKKT-sky PARI-sky 2021-01-17 2147483647
BKKT-sky PARI-sky 2021-01-18 2147483647
BKKT-sky PARI-sky 2021-01-19 455
BKKT-sky PARI-sky 2021-01-20 2147483647
BKKT-sky PARI-sky 2021-01-21 2147483647
BKKT-sky PARI-sky 2021-01-22 2147483647
BKKT-sky PARI-sky 2021-01-23 2147483647
BKKT-sky PARI-sky 2021-01-24 436
BKKT-sky PARI-sky 2021-01-25 2147483647
BKKT-sky DXBA-sky 2021-01-01 1039
BKKT-sky DXBA-sky 2021-01-02 279
BKKT-sky DXBA-sky 2021-01-03 2147483647
BKKT-sky DXBA-sky 2021-01-04 273
BKKT-sky DXBA-sky 2021-01-05 287
BKKT-sky DXBA-sky 2021-01-06 2147483647
BKKT-sky DXBA-sky 2021-01-07 383
BKKT-sky DXBA-sky 2021-01-08 2147483647
BKKT-sky DXBA-sky 2021-01-09 357
BKKT-sky DXBA-sky 2021-01-10 273
BKKT-sky DXBA-sky 2021-01-11 2147483647
BKKT-sky DXBA-sky 2021-01-12 383
BKKT-sky DXBA-sky 2021-01-13 281
BKKT-sky DXBA-sky 2021-01-14 2147483647
BKKT-sky DXBA-sky 2021-01-15 277
BKKT-sky DXBA-sky 2021-01-16 2147483647
BKKT-sky DXBA-sky 2021-01-17 2147483647
BKKT-sky DXBA-sky 2021-01-18 2147483647
BKKT-sky DXBA-sky 2021-01-19 2147483647
BKKT-sky DXBA-sky 2021-01-20 383
BKKT-sky DXBA-sky 2021-01-21 287
BKKT-sky DXBA-sky 2021-01-22 2147483647
BKKT-sky DXBA-sky 2021-01-23 2147483647
BKKT-sky DXBA-sky 2021-01-24 2147483647
BKKT-sky DXBA-sky 2021-01-25 2147483647
BKKT-sky NYCA-sky 2021-01-01 637
BKKT-sky NYCA-sky 2021-01-02 748
BKKT-sky NYCA-sky 2021-01-03 789
BKKT-sky NYCA-sky 2021-01-04 753
BKKT-sky NYCA-sky 2021-01-05 811
BKKT-sky NYCA-sky 2021-01-06 767
BKKT-sky NYCA-sky 2021-01-07 811
BKKT-sky NYCA-sky 2021-01-08 830
BKKT-sky NYCA-sky 2021-01-09 562
BKKT-sky NYCA-sky 2021-01-10 700
BKKT-sky NYCA-sky 2021-01-11 533
BKKT-sky NYCA-sky 2021-01-12 411
BKKT-sky NYCA-sky 2021-01-13 647
BKKT-sky NYCA-sky 2021-01-14 651
BKKT-sky NYCA-sky 2021-01-15 661
BKKT-sky NYCA-sky 2021-01-16 422
BKKT-sky NYCA-sky 2021-01-17 549
BKKT-sky NYCA-sky 2021-01-18 645
BKKT-sky NYCA-sky 2021-01-19 372
BKKT-sky NYCA-sky 2021-01-20 540
BKKT-sky NYCA-sky 2021-01-21 638
BKKT-sky NYCA-sky 2021-01-22 2147483647
BKKT-sky NYCA-sky 2021-01-23 2147483647
BKKT-sky NYCA-sky 2021-01-24 2147483647
BKKT-sky NYCA-sky 2021-01-25 2147483647
BKKT-sky KULM-sky 2021-01-01 165
BKKT-sky KULM-sky 2021-01-02 165
BKKT-sky KULM-sky 2021-01-03 2147483647
BKKT-sky KULM-sky 2021-01-04 2147483647
BKKT-sky KULM-sky 2021-01-05 166
BKKT-sky KULM-sky 2021-01-06 142
BKKT-sky KULM-sky 2021-01-07 2147483647
BKKT-sky KULM-sky 2021-01-08 2147483647
BKKT-sky KULM-sky 2021-01-09 2147483647
BKKT-sky KULM-sky 2021-01-10 2147483647
BKKT-sky KULM-sky 2021-01-11 70
BKKT-sky KULM-sky 2021-01-12 65
BKKT-sky KULM-sky 2021-01-13 68
BKKT-sky KULM-sky 2021-01-14 70
BKKT-sky KULM-sky 2021-01-15 63
BKKT-sky KULM-sky 2021-01-16 70
BKKT-sky KULM-sky 2021-01-17 2147483647
BKKT-sky KULM-sky 2021-01-18 165
BKKT-sky KULM-sky 2021-01-19 2147483647
BKKT-sky KULM-sky 2021-01-20 165
BKKT-sky KULM-sky 2021-01-21 2147483647
BKKT-sky KULM-sky 2021-01-22 2147483647
BKKT-sky KULM-sky 2021-01-23 2147483647
BKKT-sky KULM-sky 2021-01-24 2147483647
BKKT-sky KULM-sky 2021-01-25 2147483647
BKKT-sky ISTA-sky 2021-01-01 420
BKKT-sky ISTA-sky 2021-01-02 442
BKKT-sky ISTA-sky 2021-01-03 428
BKKT-sky ISTA-sky 2021-01-04 391
BKKT-sky ISTA-sky 2021-01-05 386
BKKT-sky ISTA-sky 2021-01-06 412
BKKT-sky ISTA-sky 2021-01-07 389
BKKT-sky ISTA-sky 2021-01-08 362
BKKT-sky ISTA-sky 2021-01-09 359
BKKT-sky ISTA-sky 2021-01-10 371
BKKT-sky ISTA-sky 2021-01-11 371
BKKT-sky ISTA-sky 2021-01-12 381
BKKT-sky ISTA-sky 2021-01-13 439
BKKT-sky ISTA-sky 2021-01-14 371
BKKT-sky ISTA-sky 2021-01-15 384
BKKT-sky ISTA-sky 2021-01-16 387
BKKT-sky ISTA-sky 2021-01-17 387
BKKT-sky ISTA-sky 2021-01-18 386
BKKT-sky ISTA-sky 2021-01-19 380
BKKT-sky ISTA-sky 2021-01-20 380
BKKT-sky ISTA-sky 2021-01-21 2147483647
BKKT-sky ISTA-sky 2021-01-22 2147483647
BKKT-sky ISTA-sky 2021-01-23 2147483647
BKKT-sky ISTA-sky 2021-01-24 384
BKKT-sky ISTA-sky 2021-01-25 388
LOND-sky HKGA-sky 2021-01-01 433
LOND-sky HKGA-sky 2021-01-02 433
LOND-sky HKGA-sky 2021-01-03 431
LOND-sky HKGA-sky 2021-01-04 433
LOND-sky HKGA-sky 2021-01-05 389
LOND-sky HKGA-sky 2021-01-06 383
LOND-sky HKGA-sky 2021-01-07 360
LOND-sky HKGA-sky 2021-01-08 433
LOND-sky HKGA-sky 2021-01-09 453
LOND-sky HKGA-sky 2021-01-10 355
LOND-sky HKGA-sky 2021-01-11 312
LOND-sky HKGA-sky 2021-01-12 347
LOND-sky HKGA-sky 2021-01-13 319
LOND-sky HKGA-sky 2021-01-14 342
LOND-sky HKGA-sky 2021-01-15 325
LOND-sky HKGA-sky 2021-01-16 433
LOND-sky HKGA-sky 2021-01-17 440
LOND-sky HKGA-sky 2021-01-18 324
LOND-sky HKGA-sky 2021-01-19 334
LOND-sky HKGA-sky 2021-01-20 311
LOND-sky HKGA-sky 2021-01-21 2147483647
LOND-sky HKGA-sky 2021-01-22 325
LOND-sky HKGA-sky 2021-01-23 453
LOND-sky HKGA-sky 2021-01-24 319
LOND-sky HKGA-sky 2021-01-25 324
LOND-sky BKKT-sky 2021-01-01 370
LOND-sky BKKT-sky 2021-01-02 440
LOND-sky BKKT-sky 2021-01-03 391
LOND-sky BKKT-sky 2021-01-04 440
LOND-sky BKKT-sky 2021-01-05 440
LOND-sky BKKT-sky 2021-01-06 440
LOND-sky BKKT-sky 2021-01-07 342
LOND-sky BKKT-sky 2021-01-08 376
LOND-sky BKKT-sky 2021-01-09 440
LOND-sky BKKT-sky 2021-01-10 410
LOND-sky BKKT-sky 2021-01-11 360
LOND-sky BKKT-sky 2021-01-12 417
LOND-sky BKKT-sky 2021-01-13 397
LOND-sky BKKT-sky 2021-01-14 333
LOND-sky BKKT-sky 2021-01-15 372
LOND-sky BKKT-sky 2021-01-16 415
LOND-sky BKKT-sky 2021-01-17 333
LOND-sky BKKT-sky 2021-01-18 380
LOND-sky BKKT-sky 2021-01-19 382
LOND-sky BKKT-sky 2021-01-20 396
LOND-sky BKKT-sky 2021-01-21 339
LOND-sky BKKT-sky 2021-01-22 359
LOND-sky BKKT-sky 2021-01-23 429
LOND-sky BKKT-sky 2021-01-24 338
LOND-sky BKKT-sky 2021-01-25 343
LOND-sky SINS-sky 2021-01-01 391
LOND-sky SINS-sky 2021-01-02 424
LOND-sky SINS-sky 2021-01-03 404
LOND-sky SINS-sky 2021-01-04 433
LOND-sky SINS-sky 2021-01-05 465
LOND-sky SINS-sky 2021-01-06 409
LOND-sky SINS-sky 2021-01-07 400
LOND-sky SINS-sky 2021-01-08 2147483647
LOND-sky SINS-sky 2021-01-09 383
LOND-sky SINS-sky 2021-01-10 374
LOND-sky SINS-sky 2021-01-11 2147483647
LOND-sky SINS-sky 2021-01-12 380
LOND-sky SINS-sky 2021-01-13 413
LOND-sky SINS-sky 2021-01-14 388
LOND-sky SINS-sky 2021-01-15 403
LOND-sky SINS-sky 2021-01-16 403
LOND-sky SINS-sky 2021-01-17 403
LOND-sky SINS-sky 2021-01-18 406
LOND-sky SINS-sky 2021-01-19 2147483647
LOND-sky SINS-sky 2021-01-20 2147483647
LOND-sky SINS-sky 2021-01-21 2147483647
LOND-sky SINS-sky 2021-01-22 395
LOND-sky SINS-sky 2021-01-23 469
LOND-sky SINS-sky 2021-01-24 2147483647
LOND-sky SINS-sky 2021-01-25 406
LOND-sky PARI-sky 2021-01-01 42
LOND-sky PARI-sky 2021-01-02 49
LOND-sky PARI-sky 2021-01-03 39
LOND-sky PARI-sky 2021-01-04 40
LOND-sky PARI-sky 2021-01-05 40
LOND-sky PARI-sky 2021-01-06 41
LOND-sky PARI-sky 2021-01-07 40
LOND-sky PARI-sky 2021-01-08 42
LOND-sky PARI-sky 2021-01-09 42
LOND-sky PARI-sky 2021-01-10 39
LOND-sky PARI-sky 2021-01-11 40
LOND-sky PARI-sky 2021-01-12 36
LOND-sky PARI-sky 2021-01-13 28
LOND-sky PARI-sky 2021-01-14 42
LOND-sky PARI-sky 2021-01-15 42
LOND-sky PARI-sky 2021-01-16 36
LOND-sky PARI-sky 2021-01-17 42
LOND-sky PARI-sky 2021-01-18 39
LOND-sky PARI-sky 2021-01-19 38
LOND-sky PARI-sky 2021-01-20 28
LOND-sky PARI-sky 2021-01-21 40
LOND-sky PARI-sky 2021-01-22 40
LOND-sky PARI-sky 2021-01-23 38
LOND-sky PARI-sky 2021-01-24 23
LOND-sky PARI-sky 2021-01-25 2147483647
LOND-sky DXBA-sky 2021-01-01 283
LOND-sky DXBA-sky 2021-01-02 210
LOND-sky DXBA-sky 2021-01-03 210
LOND-sky DXBA-sky 2021-01-04 201
LOND-sky DXBA-sky 2021-01-05 207
LOND-sky DXBA-sky 2021-01-06 194
LOND-sky DXBA-sky 2021-01-07 207
LOND-sky DXBA-sky 2021-01-08 207
LOND-sky DXBA-sky 2021-01-09 205
LOND-sky DXBA-sky 2021-01-10 197
LOND-sky DXBA-sky 2021-01-11 201
LOND-sky DXBA-sky 2021-01-12 183
LOND-sky DXBA-sky 2021-01-13 211
LOND-sky DXBA-sky 2021-01-14 211
LOND-sky DXBA-sky 2021-01-15 177
LOND-sky DXBA-sky 2021-01-16 177
LOND-sky DXBA-sky 2021-01-17 175
LOND-sky DXBA-sky 2021-01-18 202
LOND-sky DXBA-sky 2021-01-19 195
LOND-sky DXBA-sky 2021-01-20 200
LOND-sky DXBA-sky 2021-01-21 203
LOND-sky DXBA-sky 2021-01-22 179
LOND-sky DXBA-sky 2021-01-23 183
LOND-sky DXBA-sky 2021-01-24 189
LOND-sky DXBA-sky 2021-01-25 198
LOND-sky NYCA-sky 2021-01-01 235
LOND-sky NYCA-sky 2021-01-02 275
LOND-sky NYCA-sky 2021-01-03 258
LOND-sky NYCA-sky 2021-01-04 233
LOND-sky NYCA-sky 2021-01-05 232
LOND-sky NYCA-sky 2021-01-06 232
LOND-sky NYCA-sky 2021-01-07 231
LOND-sky NYCA-sky 2021-01-08 231
LOND-sky NYCA-sky 2021-01-09 235
LOND-sky NYCA-sky 2021-01-10 226
LOND-sky NYCA-sky 2021-01-11 233
LOND-sky NYCA-sky 2021-01-12 201
LOND-sky NYCA-sky 2021-01-13 194
LOND-sky NYCA-sky 2021-01-14 207
LOND-sky NYCA-sky 2021-01-15 218
LOND-sky NYCA-sky 2021-01-16 233
LOND-sky NYCA-sky 2021-01-17 232
LOND-sky NYCA-sky 2021-01-18 207
LOND-sky NYCA-sky 2021-01-19 187
LOND-sky NYCA-sky 2021-01-20 191
LOND-sky NYCA-sky 2021-01-21 203
LOND-sky NYCA-sky 2021-01-22 218
LOND-sky NYCA-sky 2021-01-23 240
LOND-sky NYCA-sky 2021-01-24 194
LOND-sky NYCA-sky 2021-01-25 199
LOND-sky KULM-sky 2021-01-01 455
LOND-sky KULM-sky 2021-01-02 514
